trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.618, 'e': 0.8529203058208146}",25,11,-26.101366869651,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
76,False,"{'a': 0.618, 'e': 0.8493896245615156}",30,0,-296.6584538270308,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 5}",0
77,False,"{'a': 0.618, 'e': 0.8458255152055689}",30,0,-55.95268959851243,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
78,False,"{'a': 0.618, 'e': 0.8422281997579062}",25,0,-161.22802965276554,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
79,False,"{'a': 0.618, 'e': 0.838597897294104}",25,0,-38.45724184007499,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
80,False,"{'a': 0.618, 'e': 0.8349348240179835}",30,12,-56.5744005944291,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
81,False,"{'a': 0.618, 'e': 0.8312391933177097}",25,0,-81.40946492378029,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
82,False,"{'a': 0.618, 'e': 0.8275112158204393}",20,0,-24.493134263478694,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.618, 'e': 0.8237510994455632}",20,0,-26.15210433248567,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
84,False,"{'a': 0.618, 'e': 0.8199590494565893}",25,0,-58.95468086080179,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.618, 'e': 0.816135268511706}",20,0,-30.50539890804973,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
86,False,"{'a': 0.618, 'e': 0.8122799567130748}",25,14,-62.34191721722338,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
87,False,"{'a': 0.618, 'e': 0.8083933116548816}",25,0,-86.1230886491745,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
88,False,"{'a': 0.618, 'e': 0.8044755284701958}",20,10,8.653866561426936,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.618, 'e': 0.8005267998766661}",25,0,-118.68706790378789,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
90,False,"{'a': 0.618, 'e': 0.7965473162210945}",20,0,-54.74457498361517,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
91,False,"{'a': 0.618, 'e': 0.7925372655229173}",20,0,-67.35174399510932,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
92,False,"{'a': 0.618, 'e': 0.7884968335166325}",20,0,-124.95110971497861,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
93,False,"{'a': 0.618, 'e': 0.7844262036931996}",25,13,8.99531891994158,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.618, 'e': 0.7803255573404472}",20,0,-49.428738998540496,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
95,False,"{'a': 0.618, 'e': 0.7761950735825139}",20,1,-78.80414713661634,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 0}",1
96,False,"{'a': 0.618, 'e': 0.772034929418356}",25,0,-178.25893041531052,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
97,False,"{'a': 0.618, 'e': 0.7678452997593442}",20,0,-133.35723272797668,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
98,False,"{'a': 0.618, 'e': 0.7636263574659803}",20,0,-169.8817655370394,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
99,False,"{'a': 0.618, 'e': 0.7593782733837575}",20,1,-110.07409494871447,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 2}",1
100,False,"{'a': 0.618, 'e': 0.7551012163781894}",20,9,-42.363564238228975,"{0: 7, 1: 1, 2: 1, 3: 2, 4: 0}",1
101,False,"{'a': 0.618, 'e': 0.7507953533690315}",25,0,-80.93518190770025,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
102,False,"{'a': 0.618, 'e': 0.7464608493637188}",25,0,-114.47150173635782,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
103,False,"{'a': 0.618, 'e': 0.7420978674900423}",20,0,-94.661853190571,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
104,False,"{'a': 0.618, 'e': 0.7377065690280834}",20,0,-53.22395298309095,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
105,False,"{'a': 0.618, 'e': 0.7332871134414314}",20,6,-37.53643751932291,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.618, 'e': 0.7288396584076996}",25,0,-61.10130798094333,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
107,False,"{'a': 0.618, 'e': 0.7243643598483627}",25,10,-111.63241942069604,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 2}",1
108,False,"{'a': 0.618, 'e': 0.7198613719579329}",20,0,-59.98355189804359,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
109,False,"{'a': 0.618, 'e': 0.7153308472324938}",20,0,-27.955935975924003,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
110,False,"{'a': 0.618, 'e': 0.7107729364976088}",20,0,-83.22271338470411,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
111,False,"{'a': 0.618, 'e': 0.7061877889356201}",20,16,8.573995450012339,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.618, 'e': 0.7015755521123589}",20,0,-69.10279255582086,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
113,False,"{'a': 0.618, 'e': 0.6969363720032773}",35,0,-87.35214963253809,"{0: 27, 1: 1, 2: 4, 3: 2, 4: 1}",0
114,False,"{'a': 0.618, 'e': 0.6922703930190213}",25,0,-79.71496873979495,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
115,False,"{'a': 0.618, 'e': 0.6875777580304574}",20,0,-155.8411683769876,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
116,False,"{'a': 0.618, 'e': 0.6828586083931701}",20,0,-24.71427770525522,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
117,False,"{'a': 0.618, 'e': 0.6781130839714402}",20,15,-3.7726784659784234,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.618, 'e': 0.6733413231617218}",30,0,-162.42418194593108,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
119,False,"{'a': 0.618, 'e': 0.6685434629156277}",20,0,-77.8820101679406,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
120,False,"{'a': 0.618, 'e': 0.6637196387624387}",20,0,-81.7342314249947,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
121,False,"{'a': 0.618, 'e': 0.6588699848311461}",25,0,-22.818299166821287,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
122,False,"{'a': 0.618, 'e': 0.6539946338720426}",30,0,-42.28135787703846,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
123,False,"{'a': 0.618, 'e': 0.6490937172778709}",25,0,-70.4399670723851,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",1
124,False,"{'a': 0.618, 'e': 0.6441673651045415}",25,14,-1.351034485129577,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.618, 'e': 0.6392157060914323}",20,0,-10.21412403054379,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
126,False,"{'a': 0.618, 'e': 0.634238867681278}",25,0,-31.704029095227344,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
127,False,"{'a': 0.618, 'e': 0.6292369760396616}",20,1,-76.39416605427502,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 2}",1
128,False,"{'a': 0.618, 'e': 0.6242101560741169}",30,10,-40.47880887725687,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
129,False,"{'a': 0.618, 'e': 0.6191585314528526}",25,0,-22.74744265261451,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
130,False,"{'a': 0.618, 'e': 0.6140822246231051}",25,0,-53.45904210527232,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
