trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.618, 'e': 0.3800508460323472}",30,18,18.561716304424994,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.618, 'e': 0.3740142364200003}",30,18,25.782856840671503,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.618, 'e': 0.3679573490191719}",30,10,-34.73990588482908,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
175,False,"{'a': 0.618, 'e': 0.361880265735653}",20,9,-1.8787897660163697,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.618, 'e': 0.35578306781622904}",25,9,-16.74903998250733,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
177,False,"{'a': 0.618, 'e': 0.34966583585660094}",25,0,-18.58708694758463,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
178,False,"{'a': 0.618, 'e': 0.34352864980918163}",30,18,-22.308859455137874,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.618, 'e': 0.337371588990766}",20,0,-55.217293653889534,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
180,False,"{'a': 0.618, 'e': 0.33119473209008077}",30,4,-49.78425335477339,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 2}",1
181,False,"{'a': 0.618, 'e': 0.32499815717521474}",20,3,18.541016961364683,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.618, 'e': 0.3187819417009341}",20,14,9.215492883429405,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.618, 'e': 0.31254616251588085}",20,2,15.502635854745455,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.618, 'e': 0.3062908958696591}",20,0,31.387122823818608,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
185,False,"{'a': 0.618, 'e': 0.3000162174198132}",20,11,2.3249360739950657,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.618, 'e': 0.2937222022386976}",25,0,14.62927302743074,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
187,False,"{'a': 0.618, 'e': 0.28740892482023883}",25,14,-15.15786460617409,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
188,False,"{'a': 0.618, 'e': 0.28107645908659484}",25,13,-29.60651512274919,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
189,False,"{'a': 0.618, 'e': 0.2747248783947138}",25,14,1.8792771265845551,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.618, 'e': 0.26835425554279113}",20,16,9.24135765154584,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.618, 'e': 0.26196466277662966}",25,13,-4.481670277840906,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
192,False,"{'a': 0.618, 'e': 0.25555617179590273}",20,0,23.855190919207914,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
193,False,"{'a': 0.618, 'e': 0.24912885376032312}",20,7,6.826083935282553,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.618, 'e': 0.2426827792957208}",30,6,26.281669221170368,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.618, 'e': 0.23621801850002822}",30,17,20.886848818171057,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.618, 'e': 0.22973464094917706}",20,7,-1.1268200516766562,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
197,False,"{'a': 0.618, 'e': 0.22323271570290704}",20,3,15.782281045191008,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.618, 'e': 0.2167123113104894}",30,13,-10.973953014302792,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
199,False,"{'a': 0.618, 'e': 0.21017349581636657}",20,4,4.85252843252429,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
200,False,"{'a': 0.618, 'e': 0.203616336765708}",20,9,6.909339300743024,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.618, 'e': 0.19704090120988393}",20,8,20.009661937187715,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.618, 'e': 0.19044725571186327}",25,14,20.692877797359905,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.618, 'e': 0.1838354663515277}",30,0,23.075380449535665,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
204,False,"{'a': 0.618, 'e': 0.17720559873091446}",20,16,9.698759417120588,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.618, 'e': 0.17055771797937835}",20,15,1.9907228591078585,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.618, 'e': 0.16389188875868355}",30,12,-0.9916536776678815,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
207,False,"{'a': 0.618, 'e': 0.15720817526802167}",20,14,11.96045924527989,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.618, 'e': 0.1505066412489554}",20,15,10.318926349427537,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.618, 'e': 0.14378734999029774}",25,11,11.389946768796827,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.618, 'e': 0.13705036433291506}",30,15,28.136996286760304,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.618, 'e': 0.1302957466744693}",25,15,20.266906305892007,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.618, 'e': 0.12352355897408718}",20,10,15.977627879447777,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.618, 'e': 0.1167338627569704}",20,6,27.815697204056605,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.618, 'e': 0.10992671911893492}",25,11,22.968614584819893,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.618, 'e': 0.10310218873089316}",20,3,25.49984956702511,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.618, 'e': 0.09626033184326888}",20,4,26.588322668386727,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.618, 'e': 0.0894012082903558}",20,3,9.33136129396678,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.618, 'e': 0.08252487749461157}",35,27,15.50812584565358,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.618, 'e': 0.07563139847089728}",20,8,8.927120269575537,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.618, 'e': 0.06872082983065508}",20,8,0.28598433706598203,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
221,False,"{'a': 0.618, 'e': 0.06179322978603252}",20,13,9.7270226739039,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.618, 'e': 0.05484865615394652}",30,17,27.457480248050857,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.618, 'e': 0.047887166360098155}",20,12,14.85677997311174,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.618, 'e': 0.040908817442926404}",30,8,31.186244116014926,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.618, 'e': 0.033913666057516}",25,3,25.84129323212311,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.618, 'e': 0.026901768479445698}",30,0,48.25355115933263,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
227,False,"{'a': 0.618, 'e': 0.019873180608592222}",25,14,21.354863080767245,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.618, 'e': 0.012827957972876836}",30,15,28.607155222166455,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.618, 'e': 0.005766155731968259}",25,13,21.99425945393975,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,11,17.431992204648143,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,9,22.35614939688854,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,8,26.003914147129773,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,17,22.728950076031868,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,13,23.13080925680827,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,8,21.57382202832436,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",35,17,33.058675840449595,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,12,16.206419127706006,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,3,32.20779387482511,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,4,29.120319454813483,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
